*sta1;_h2642250_rep2016*
*sta2;_h2642250_rep2016*
*sta3;_h2642250_rep2016*
*sta4;_h2642250_rep2016*
*sta5;_h2642250_rep2016*
*sta6;_h2642250_rep2016*
*sta7;_h2642250_rep2016*
*sta8;_h2642250_rep2016*
*sta9;_h2642250_rep2016*
*sta1;_h2642250_rep2016*
*sta2;_h2642250_rep2016*
*sta3;_h2642250_rep2016*
*sta4;_h2642250_rep2016*
*sta5;_h2642250_rep2016*
*sta6;_h2642250_rep2016*
*sta7;_h2642250_rep2016*
*sta8;_h2642250_rep2016*
*sta9;_h2642250_rep2016*
*sta1;_h2642250_rep2016*

*sta2;_h2642250_rep2016*

*sta3;_h2642250_rep2016*

*sta4;_h2642250_rep2016*

*sta5;_h2642250_rep2016*

*sta6;_h2642250_rep2016*

*sta7;_h2642250_rep2016*

*sta8;_h2642250_rep2016*

*sta9;_h2642250_rep2016*

